"date","median_ndvi","landsat","year","month","day"
2005-04-08,0.128419913351536,"Landsat7 (ETM+)",2005,4,8
2005-04-13,0.118327488842624,"Landsat7 (ETM+)",2005,4,13
2005-04-18,0.114574987397646,"Landsat7 (ETM+)",2005,4,18
2005-04-23,0.119322407741493,"Landsat7 (ETM+)",2005,4,23
2005-04-28,0.125830578268506,"Landsat7 (ETM+)",2005,4,28
2005-05-03,0.127337560810702,"Landsat7 (ETM+)",2005,5,3
2005-05-08,0.120206647465239,"Landsat7 (ETM+)",2005,5,8
2005-05-13,0.119221588544861,"Landsat7 (ETM+)",2005,5,13
2005-05-18,0.124443737324327,"Landsat7 (ETM+)",2005,5,18
2005-05-23,0.128863355618705,"Landsat7 (ETM+)",2005,5,23
2005-05-28,0.12546048911463,"Landsat7 (ETM+)",2005,5,28
2005-06-02,0.111094176480037,"Landsat7 (ETM+)",2005,6,2
2005-06-07,0.0965369691839442,"Landsat7 (ETM+)",2005,6,7
2005-06-12,0.094587423673147,"Landsat7 (ETM+)",2005,6,12
2005-06-17,0.11361085511453,"Landsat7 (ETM+)",2005,6,17
2005-06-22,0.133116930367169,"Landsat7 (ETM+)",2005,6,22
2005-06-27,0.152118055219762,"Landsat7 (ETM+)",2005,6,27
2005-07-02,0.171399165851699,"Landsat7 (ETM+)",2005,7,2
2005-07-07,0.190665001026718,"Landsat7 (ETM+)",2005,7,7
2005-07-12,0.20962029950856,"Landsat7 (ETM+)",2005,7,12
2005-07-17,0.227969800060964,"Landsat7 (ETM+)",2005,7,17
2005-07-22,0.245449776513254,"Landsat7 (ETM+)",2005,7,22
2005-07-27,0.262800268746563,"Landsat7 (ETM+)",2005,7,27
2005-08-01,0.280210640177086,"Landsat7 (ETM+)",2005,8,1
2005-08-06,0.297363312706351,"Landsat7 (ETM+)",2005,8,6
2005-08-11,0.31394070823588,"Landsat7 (ETM+)",2005,8,11
2005-08-16,0.329625248667201,"Landsat7 (ETM+)",2005,8,16
2005-08-21,0.344099355901838,"Landsat7 (ETM+)",2005,8,21
2005-08-26,0.357045451841317,"Landsat7 (ETM+)",2005,8,26
2005-08-31,0.368127687434753,"Landsat7 (ETM+)",2005,8,31
2005-09-05,0.374840869317995,"Landsat7 (ETM+)",2005,9,5
2005-09-10,0.372463502629671,"Landsat7 (ETM+)",2005,9,10
2005-09-15,0.364950958406553,"Landsat7 (ETM+)",2005,9,15
2005-09-20,0.354228718796094,"Landsat7 (ETM+)",2005,9,20
2005-09-25,0.341648670251744,"Landsat7 (ETM+)",2005,9,25
2005-09-30,0.32856269922695,"Landsat7 (ETM+)",2005,9,30
2005-10-05,0.316322692175163,"Landsat7 (ETM+)",2005,10,5
2005-10-10,0.306264996807841,"Landsat7 (ETM+)",2005,10,10
2005-10-15,0.298471817637619,"Landsat7 (ETM+)",2005,10,15
2005-10-20,0.291229058385397,"Landsat7 (ETM+)",2005,10,20
2005-10-25,0.282734841108322,"Landsat7 (ETM+)",2005,10,25
2005-10-30,0.271795587956148,"Landsat7 (ETM+)",2005,10,30
2005-11-04,0.258761954202782,"Landsat7 (ETM+)",2005,11,4
2005-11-09,0.24397588850843,"Landsat7 (ETM+)",2005,11,9
2005-11-14,0.231060293270275,"Landsat7 (ETM+)",2005,11,14
2005-11-19,0.219627236752331,"Landsat7 (ETM+)",2005,11,19
2005-11-24,0.208881013011706,"Landsat7 (ETM+)",2005,11,24
2005-11-29,0.198464439036343,"Landsat7 (ETM+)",2005,11,29
2005-12-04,0.188422121107579,"Landsat7 (ETM+)",2005,12,4
2005-12-09,0.178798665506747,"Landsat7 (ETM+)",2005,12,9
2005-12-14,0.169638678515185,"Landsat7 (ETM+)",2005,12,14
2005-12-19,0.160986766414226,"Landsat7 (ETM+)",2005,12,19
2005-12-24,0.15295581537066,"Landsat7 (ETM+)",2005,12,24
2005-12-29,0.145805730072425,"Landsat7 (ETM+)",2005,12,29
2006-01-03,0.139722374420671,"Landsat7 (ETM+)",2006,1,3
2006-01-08,0.134976130258565,"Landsat7 (ETM+)",2006,1,8
2006-01-13,0.131678734673187,"Landsat7 (ETM+)",2006,1,13
2006-01-18,0.129066241894634,"Landsat7 (ETM+)",2006,1,18
2006-01-23,0.126315325338948,"Landsat7 (ETM+)",2006,1,23
2006-01-28,0.123248240624702,"Landsat7 (ETM+)",2006,1,28
2006-02-02,0.120749324797504,"Landsat7 (ETM+)",2006,2,2
2006-02-07,0.119761248796547,"Landsat7 (ETM+)",2006,2,7
2006-02-12,0.119641592166334,"Landsat7 (ETM+)",2006,2,12
2006-02-17,0.117948294842426,"Landsat7 (ETM+)",2006,2,17
2006-02-22,0.114627338945866,"Landsat7 (ETM+)",2006,2,22
2006-02-27,0.116106542129273,"Landsat7 (ETM+)",2006,2,27
2006-03-04,0.11914456356209,"Landsat7 (ETM+)",2006,3,4
2006-03-09,0.12319293046541,"Landsat7 (ETM+)",2006,3,9
2006-03-14,0.127762219170108,"Landsat7 (ETM+)",2006,3,14
2006-03-19,0.13195033816023,"Landsat7 (ETM+)",2006,3,19
2006-03-24,0.134855195919819,"Landsat7 (ETM+)",2006,3,24
2006-03-29,0.135209478722572,"Landsat7 (ETM+)",2006,3,29
2006-04-03,0.132521339536955,"Landsat7 (ETM+)",2006,4,3
2006-04-08,0.13008746244941,"Landsat7 (ETM+)",2006,4,8
2006-04-13,0.131294195060036,"Landsat7 (ETM+)",2006,4,13
2006-04-18,0.136111407062344,"Landsat7 (ETM+)",2006,4,18
2006-04-23,0.142415536218322,"Landsat7 (ETM+)",2006,4,23
