"date","median_ndvi","landsat","year","month","day"
2005-02-03,0.117241382598877,"Landsat4/5 (TM)",2005,2,3
2005-02-08,0.119711652199839,"Landsat4/5 (TM)",2005,2,8
2005-02-13,0.122155926350388,"Landsat4/5 (TM)",2005,2,13
2005-02-18,0.124964136806738,"Landsat4/5 (TM)",2005,2,18
2005-02-23,0.128826324051867,"Landsat4/5 (TM)",2005,2,23
2005-02-28,0.133894292514014,"Landsat4/5 (TM)",2005,2,28
2005-03-05,0.139000087103341,"Landsat4/5 (TM)",2005,3,5
2005-03-10,0.142946414433633,"Landsat4/5 (TM)",2005,3,10
2005-03-15,0.144535981118679,"Landsat4/5 (TM)",2005,3,15
2005-03-20,0.141338456516678,"Landsat4/5 (TM)",2005,3,20
2005-03-25,0.135974313276589,"Landsat4/5 (TM)",2005,3,25
2005-03-30,0.130142102884627,"Landsat4/5 (TM)",2005,3,30
2005-04-04,0.129184244202357,"Landsat4/5 (TM)",2005,4,4
2005-04-09,0.127575737505724,"Landsat4/5 (TM)",2005,4,9
2005-04-14,0.11716407648128,"Landsat4/5 (TM)",2005,4,14
2005-04-19,0.115064701580195,"Landsat4/5 (TM)",2005,4,19
2005-04-24,0.120695788413286,"Landsat4/5 (TM)",2005,4,24
2005-04-29,0.126758834298016,"Landsat4/5 (TM)",2005,4,29
2005-05-04,0.126291301770835,"Landsat4/5 (TM)",2005,5,4
2005-05-09,0.11909493289204,"Landsat4/5 (TM)",2005,5,9
2005-05-14,0.118423149388816,"Landsat4/5 (TM)",2005,5,14
2005-05-19,0.120928534932318,"Landsat4/5 (TM)",2005,5,19
2005-05-24,0.125824622926302,"Landsat4/5 (TM)",2005,5,24
2005-05-29,0.132438926802661,"Landsat4/5 (TM)",2005,5,29
2005-06-03,0.139887598087419,"Landsat4/5 (TM)",2005,6,3
2005-06-08,0.148055919981341,"Landsat4/5 (TM)",2005,6,8
2005-06-13,0.156902784439694,"Landsat4/5 (TM)",2005,6,13
2005-06-18,0.166387083417747,"Landsat4/5 (TM)",2005,6,18
2005-06-23,0.176467708870768,"Landsat4/5 (TM)",2005,6,23
2005-06-28,0.187103552754025,"Landsat4/5 (TM)",2005,6,28
2005-07-03,0.198253507022786,"Landsat4/5 (TM)",2005,7,3
2005-07-08,0.20987646363232,"Landsat4/5 (TM)",2005,7,8
2005-07-13,0.221931314537893,"Landsat4/5 (TM)",2005,7,13
2005-07-18,0.234376951694775,"Landsat4/5 (TM)",2005,7,18
2005-07-23,0.247346416298832,"Landsat4/5 (TM)",2005,7,23
2005-07-28,0.262187384327873,"Landsat4/5 (TM)",2005,7,28
2005-08-02,0.278611489653587,"Landsat4/5 (TM)",2005,8,2
2005-08-07,0.295897737130256,"Landsat4/5 (TM)",2005,8,7
2005-08-12,0.313325131612164,"Landsat4/5 (TM)",2005,8,12
2005-08-17,0.330172677953594,"Landsat4/5 (TM)",2005,8,17
2005-08-22,0.345719381008829,"Landsat4/5 (TM)",2005,8,22
2005-08-27,0.359244245632152,"Landsat4/5 (TM)",2005,8,27
2005-09-01,0.370008343312656,"Landsat4/5 (TM)",2005,9,1
2005-09-06,0.375099661012792,"Landsat4/5 (TM)",2005,9,6
2005-09-11,0.371282659965801,"Landsat4/5 (TM)",2005,9,11
2005-09-16,0.363020025748938,"Landsat4/5 (TM)",2005,9,16
2005-09-21,0.351818073435425,"Landsat4/5 (TM)",2005,9,21
2005-09-26,0.33902868947871,"Landsat4/5 (TM)",2005,9,26
2005-10-01,0.326003760332242,"Landsat4/5 (TM)",2005,10,1
2005-10-06,0.31409517244947,"Landsat4/5 (TM)",2005,10,6
2005-10-11,0.3045758372391,"Landsat4/5 (TM)",2005,10,11
2005-10-16,0.297036892287906,"Landsat4/5 (TM)",2005,10,16
2005-10-21,0.289687991666142,"Landsat4/5 (TM)",2005,10,21
2005-10-26,0.280737320856133,"Landsat4/5 (TM)",2005,10,26
2005-10-31,0.269357180979568,"Landsat4/5 (TM)",2005,10,31
2005-11-05,0.255819983438414,"Landsat4/5 (TM)",2005,11,5
2005-11-10,0.241236753761768,"Landsat4/5 (TM)",2005,11,10
2005-11-15,0.22865862038816,"Landsat4/5 (TM)",2005,11,15
2005-11-20,0.217453761124489,"Landsat4/5 (TM)",2005,11,20
