"date","median_ndvi","landsat","year","month","day"
2005-04-08,0.168248012661934,"Landsat7 (ETM+)",2005,4,8
2005-04-13,0.158711089927238,"Landsat7 (ETM+)",2005,4,13
2005-04-18,0.156722802610602,"Landsat7 (ETM+)",2005,4,18
2005-04-23,0.164199488361192,"Landsat7 (ETM+)",2005,4,23
2005-04-28,0.174458105582744,"Landsat7 (ETM+)",2005,4,28
2005-05-03,0.181465619661876,"Landsat7 (ETM+)",2005,5,3
2005-05-08,0.183935077239669,"Landsat7 (ETM+)",2005,5,8
2005-05-13,0.184094385012408,"Landsat7 (ETM+)",2005,5,13
2005-05-18,0.183301568632452,"Landsat7 (ETM+)",2005,5,18
2005-05-23,0.180538090677267,"Landsat7 (ETM+)",2005,5,23
2005-05-28,0.169915324476565,"Landsat7 (ETM+)",2005,5,28
2005-06-02,0.134738997963763,"Landsat7 (ETM+)",2005,6,2
2005-06-07,0.119269518647343,"Landsat7 (ETM+)",2005,6,7
2005-06-12,0.129083971545697,"Landsat7 (ETM+)",2005,6,12
2005-06-17,0.180373442402925,"Landsat7 (ETM+)",2005,6,17
2005-06-22,0.213198601396789,"Landsat7 (ETM+)",2005,6,22
2005-06-27,0.233605519658886,"Landsat7 (ETM+)",2005,6,27
2005-07-02,0.247746407543537,"Landsat7 (ETM+)",2005,7,2
2005-07-07,0.257855594525245,"Landsat7 (ETM+)",2005,7,7
2005-07-12,0.266167410078515,"Landsat7 (ETM+)",2005,7,12
2005-07-17,0.274916183677852,"Landsat7 (ETM+)",2005,7,17
2005-07-22,0.286239388479633,"Landsat7 (ETM+)",2005,7,22
2005-07-27,0.298637827594183,"Landsat7 (ETM+)",2005,7,27
2005-08-01,0.310796299015681,"Landsat7 (ETM+)",2005,8,1
2005-08-06,0.322710516110062,"Landsat7 (ETM+)",2005,8,6
2005-08-11,0.33437619224326,"Landsat7 (ETM+)",2005,8,11
2005-08-16,0.345789040781208,"Landsat7 (ETM+)",2005,8,16
2005-08-21,0.356944775089839,"Landsat7 (ETM+)",2005,8,21
2005-08-26,0.367839108535088,"Landsat7 (ETM+)",2005,8,26
2005-08-31,0.378619593740586,"Landsat7 (ETM+)",2005,8,31
2005-09-05,0.389865159633337,"Landsat7 (ETM+)",2005,9,5
2005-09-10,0.390873321156505,"Landsat7 (ETM+)",2005,9,10
2005-09-15,0.385565246455372,"Landsat7 (ETM+)",2005,9,15
2005-09-20,0.376577107353114,"Landsat7 (ETM+)",2005,9,20
2005-09-25,0.365592043621291,"Landsat7 (ETM+)",2005,9,25
2005-09-30,0.35429319503146,"Landsat7 (ETM+)",2005,9,30
2005-10-05,0.344363701355178,"Landsat7 (ETM+)",2005,10,5
2005-10-10,0.33748922495306,"Landsat7 (ETM+)",2005,10,10
2005-10-15,0.334307222619828,"Landsat7 (ETM+)",2005,10,15
2005-10-20,0.332339073115691,"Landsat7 (ETM+)",2005,10,20
2005-10-25,0.328564047813416,"Landsat7 (ETM+)",2005,10,25
2005-10-30,0.320748775811808,"Landsat7 (ETM+)",2005,10,30
2005-11-04,0.311672887997701,"Landsat7 (ETM+)",2005,11,4
2005-11-09,0.302488435496344,"Landsat7 (ETM+)",2005,11,9
2005-11-14,0.297668503597379,"Landsat7 (ETM+)",2005,11,14
2005-11-19,0.29414225081041,"Landsat7 (ETM+)",2005,11,19
2005-11-24,0.289495136303231,"Landsat7 (ETM+)",2005,11,24
2005-11-29,0.284566531025803,"Landsat7 (ETM+)",2005,11,29
2005-12-04,0.279454640112817,"Landsat7 (ETM+)",2005,12,4
2005-12-09,0.274257668698965,"Landsat7 (ETM+)",2005,12,9
2005-12-14,0.269073821918937,"Landsat7 (ETM+)",2005,12,14
2005-12-19,0.264001304907424,"Landsat7 (ETM+)",2005,12,19
2005-12-24,0.259240699175279,"Landsat7 (ETM+)",2005,12,24
2005-12-29,0.254686566232522,"Landsat7 (ETM+)",2005,12,29
2006-01-03,0.249680491957406,"Landsat7 (ETM+)",2006,1,3
2006-01-08,0.243193489996074,"Landsat7 (ETM+)",2006,1,8
2006-01-13,0.234765147623591,"Landsat7 (ETM+)",2006,1,13
2006-01-18,0.2274112882428,"Landsat7 (ETM+)",2006,1,18
2006-01-23,0.22405166707968,"Landsat7 (ETM+)",2006,1,23
2006-01-28,0.223073575493178,"Landsat7 (ETM+)",2006,1,28
2006-02-02,0.222473163435605,"Landsat7 (ETM+)",2006,2,2
2006-02-07,0.220664853037988,"Landsat7 (ETM+)",2006,2,7
2006-02-12,0.21443362990297,"Landsat7 (ETM+)",2006,2,12
2006-02-17,0.2072236248423,"Landsat7 (ETM+)",2006,2,17
2006-02-22,0.19737483561039,"Landsat7 (ETM+)",2006,2,22
2006-02-27,0.174893747775059,"Landsat7 (ETM+)",2006,2,27
2006-03-04,0.163658270539061,"Landsat7 (ETM+)",2006,3,4
2006-03-09,0.167039528955313,"Landsat7 (ETM+)",2006,3,9
2006-03-14,0.17704928573221,"Landsat7 (ETM+)",2006,3,14
2006-03-19,0.188901496390894,"Landsat7 (ETM+)",2006,3,19
2006-03-24,0.19781011645251,"Landsat7 (ETM+)",2006,3,24
2006-03-29,0.199911173576765,"Landsat7 (ETM+)",2006,3,29
2006-04-03,0.197481719466547,"Landsat7 (ETM+)",2006,4,3
2006-04-08,0.193610579708547,"Landsat7 (ETM+)",2006,4,8
2006-04-13,0.190911206693272,"Landsat7 (ETM+)",2006,4,13
2006-04-18,0.188797429620536,"Landsat7 (ETM+)",2006,4,18
2006-04-23,0.186749790911563,"Landsat7 (ETM+)",2006,4,23
