date,year,month,day,median_ndvi,landsat
16-04-2005,2005,4,16,0.105471409857273,Landsat4/5 (TM)
"02-05-2005",2005,5,2,0.153333202004433,Landsat4/5 (TM)
"03-06-2005",2005,6,3,0.143514037132263,Landsat4/5 (TM)
19-06-2005,2005,6,19,0.159297838807106,Landsat4/5 (TM)
21-07-2005,2005,7,21,0.243660718202591,Landsat4/5 (TM)
"07-09-2005",2005,9,7,0.361940830945969,Landsat4/5 (TM)
"09-10-2005",2005,10,9,0.328671276569366,Landsat4/5 (TM)
25-10-2005,2005,10,25,0.32279559969902,Landsat4/5 (TM)
10-11-2005,2005,11,10,0.295691281557083,Landsat4/5 (TM)
14-02-2006,2006,2,14,0.185849100351334,Landsat4/5 (TM)
"02-03-2006",2006,3,2,0.143103063106537,Landsat4/5 (TM)
"08-04-2005",2005,4,8,0.133147336542606,Landsat7 (ETM+)
10-05-2005,2005,5,10,0.153387472033501,Landsat7 (ETM+)
26-05-2005,2005,5,26,0.146893754601479,Landsat7 (ETM+)
11-06-2005,2005,6,11,0.109280064702034,Landsat7 (ETM+)
30-08-2005,2005,8,30,0.357031553983688,Landsat7 (ETM+)
"02-11-2005",2005,11,2,0.312089681625366,Landsat7 (ETM+)
18-11-2005,2005,11,18,0.283910572528839,Landsat7 (ETM+)
20-12-2005,2005,12,20,0.247163519263268,Landsat7 (ETM+)
"05-01-2006",2006,1,5,0.231258392333984,Landsat7 (ETM+)
21-01-2006,2006,1,21,0.206198066473007,Landsat7 (ETM+)
"06-02-2006",2006,2,6,0.197277650237083,Landsat7 (ETM+)
22-02-2006,2006,2,22,0.169948637485504,Landsat7 (ETM+)
26-03-2006,2006,3,26,0.156954474747181,Landsat7 (ETM+)
11-04-2006,2006,4,11,0.146432250738144,Landsat7 (ETM+)
27-04-2006,2006,4,27,0.151397153735161,Landsat7 (ETM+)
