"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.110727690160275,"Landsat4/5 (TM)",2005,2,3,0.110727690160275,0.110780506148392
2005-02-08,0.115492306423524,"Landsat4/5 (TM)",2005,2,8,0.115492306423524,0.115477019470173
2005-02-13,0.120280047893175,"Landsat4/5 (TM)",2005,2,13,0.120280047893175,0.120134529353347
2005-02-18,0.124744036473203,"Landsat4/5 (TM)",2005,2,18,0.124744036473203,0.124753035797914
2005-02-23,0.129125795827282,"Landsat4/5 (TM)",2005,2,23,0.129125795827282,0.129444798415658
2005-02-28,0.133971909301181,"Landsat4/5 (TM)",2005,2,28,0.133971909301181,0.134119277092559
2005-03-05,0.138383416366264,"Landsat4/5 (TM)",2005,3,5,0.138383416366264,0.138532151356874
2005-03-10,0.141420629319867,"Landsat4/5 (TM)",2005,3,10,0.141420629319867,0.141384480219567
2005-03-15,0.142143860459328,"Landsat4/5 (TM)",2005,3,15,0.142143860459328,0.141284817244143
2005-03-20,0.138092431854602,"Landsat4/5 (TM)",2005,3,20,0.138092431854602,0.137004737790777
2005-03-25,0.130987706697252,"Landsat4/5 (TM)",2005,3,25,0.130987706697252,0.130912950272132
2005-03-30,0.122636889361641,"Landsat4/5 (TM)",2005,3,30,0.122636889361641,0.126298420751542
2005-04-04,0.121871327813684,"Landsat4/5 (TM)",2005,4,4,0.121871327813684,0.121061556748039
2005-04-09,0.120661112321379,"Landsat4/5 (TM)",2005,4,9,0.120661112321379,0.115160822041069
2005-04-14,0.107659254212005,"Landsat4/5 (TM)",2005,4,14,0.107659254212005,0.110726648130069
2005-04-19,0.105175316051827,"Landsat4/5 (TM)",2005,4,19,0.105175316051827,0.109233855609597
2005-04-24,0.112447609193623,"Landsat4/5 (TM)",2005,4,24,0.112447609193623,0.112274295342056
2005-04-29,0.12052838564523,"Landsat4/5 (TM)",2005,4,29,0.12052838564523,0.117571776147106
2005-05-04,0.121391631633742,"Landsat4/5 (TM)",2005,5,4,0.121391631633742,0.119247068905679
2005-05-09,0.114712852624507,"Landsat4/5 (TM)",2005,5,9,0.114712852624507,0.116462023506323
2005-05-14,0.111036421498284,"Landsat4/5 (TM)",2005,5,14,0.111036421498284,0.111672660904982
2005-05-19,0.108550932003709,"Landsat4/5 (TM)",2005,5,19,0.108550932003709,0.108422890500931
2005-05-24,0.107099264045246,"Landsat4/5 (TM)",2005,5,24,0.107099264045246,0.109119540927211
2005-05-29,0.10806384749958,"Landsat4/5 (TM)",2005,5,29,0.10806384749958,0.107084090061454
2005-06-03,0.108668386936188,"Landsat4/5 (TM)",2005,6,3,0.108668386936188,0.101227508159008
2005-06-08,0.093780942959711,"Landsat4/5 (TM)",2005,6,8,0.093780942959711,0.0993867514143946
2005-06-13,0.0936048644944094,"Landsat4/5 (TM)",2005,6,13,0.0936048644944094,0.102459352827949
2005-06-18,0.11549015079072,"Landsat4/5 (TM)",2005,6,18,0.11549015079072,0.108925761964864
2005-06-23,0.119723898189841,"Landsat4/5 (TM)",2005,6,23,0.119723898189841,0.115931858953991
2005-06-28,0.114131682477728,"Landsat4/5 (TM)",2005,6,28,0.114131682477728,0.114541663454605
2005-07-03,0.10368186640917,"Landsat4/5 (TM)",2005,7,3,0.10368186640917,0.10373701258921
2005-07-08,0.0927637778485405,"Landsat4/5 (TM)",2005,7,8,0.0927637778485405,0.0927965761679608
2005-07-13,0.0857667446602136,"Landsat4/5 (TM)",2005,7,13,0.0857667446602136,0.0863398619132824
