"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.2389847189188,"Landsat4/5 (TM)",2005,2,3,0.2389847189188,0.240291718486372
2005-02-08,0.227450943630477,"Landsat4/5 (TM)",2005,2,8,0.227450943630477,0.225456680413584
2005-02-13,0.215678316373669,"Landsat4/5 (TM)",2005,2,13,0.215678316373669,0.214891378017366
2005-02-18,0.207249616675653,"Landsat4/5 (TM)",2005,2,18,0.207249616675653,0.208595811297718
2005-02-23,0.20554929532766,"Landsat4/5 (TM)",2005,2,23,0.20554929532766,0.206698722955993
2005-02-28,0.209616766504041,"Landsat4/5 (TM)",2005,2,28,0.209616766504041,0.209918741420325
2005-03-05,0.215417321125709,"Landsat4/5 (TM)",2005,3,5,0.215417321125709,0.215730237251628
2005-03-10,0.21887760476656,"Landsat4/5 (TM)",2005,3,10,0.21887760476656,0.217500555882203
2005-03-15,0.215924263000488,"Landsat4/5 (TM)",2005,3,15,0.215924263000488,0.211773000341651
2005-03-20,0.199236967426259,"Landsat4/5 (TM)",2005,3,20,0.199236967426259,0.200277240728334
2005-03-25,0.184071837866213,"Landsat4/5 (TM)",2005,3,25,0.184071837866213,0.187193595320891
2005-03-30,0.176079105476674,"Landsat4/5 (TM)",2005,3,30,0.176079105476674,0.177003891411004
2005-04-04,0.171424405183643,"Landsat4/5 (TM)",2005,4,4,0.171424405183643,0.169894328060244
2005-04-09,0.166812297880824,"Landsat4/5 (TM)",2005,4,9,0.166812297880824,0.163867981578819
2005-04-14,0.157374373462517,"Landsat4/5 (TM)",2005,4,14,0.157374373462517,0.15985159764144
2005-04-19,0.157701533149521,"Landsat4/5 (TM)",2005,4,19,0.157701533149521,0.160359703100193
2005-04-24,0.16622469201684,"Landsat4/5 (TM)",2005,4,24,0.16622469201684,0.165934833598172
2005-04-29,0.176304565298779,"Landsat4/5 (TM)",2005,4,29,0.176304565298779,0.17463613268666
2005-05-04,0.182226569495134,"Landsat4/5 (TM)",2005,5,4,0.182226569495134,0.181303269897017
2005-05-09,0.184078081178689,"Landsat4/5 (TM)",2005,5,9,0.184078081178689,0.184387311395864
2005-05-14,0.18403541790152,"Landsat4/5 (TM)",2005,5,14,0.18403541790152,0.185550680270781
2005-05-19,0.18294523047471,"Landsat4/5 (TM)",2005,5,19,0.18294523047471,0.184770064159233
2005-05-24,0.179642478302191,"Landsat4/5 (TM)",2005,5,24,0.179642478302191,0.17494238622044
2005-05-29,0.163410761169526,"Landsat4/5 (TM)",2005,5,29,0.163410761169526,0.155440987162734
2005-06-03,0.130263015627861,"Landsat4/5 (TM)",2005,6,3,0.130263015627861,0.13369628753722
2005-06-08,0.118291162791138,"Landsat4/5 (TM)",2005,6,8,0.118291162791138,0.128480424568059
2005-06-13,0.137342952672043,"Landsat4/5 (TM)",2005,6,13,0.137342952672043,0.14540681400879
2005-06-18,0.18974822342534,"Landsat4/5 (TM)",2005,6,18,0.18974822342534,0.179263128920145
2005-06-23,0.217888515294181,"Landsat4/5 (TM)",2005,6,23,0.217888515294181,0.213867319836902
2005-06-28,0.236863481122828,"Landsat4/5 (TM)",2005,6,28,0.236863481122828,0.238247583169921
2005-07-03,0.25001928246893,"Landsat4/5 (TM)",2005,7,3,0.25001928246893,0.250125171238753
2005-07-08,0.25959024880699,"Landsat4/5 (TM)",2005,7,8,0.25959024880699,0.259628283526839
2005-07-13,0.267810709611513,"Landsat4/5 (TM)",2005,7,13,0.267810709611513,0.268289228684376
2005-07-18,0.276914994357003,"Landsat4/5 (TM)",2005,7,18,0.276914994357003,0.277776130328626
2005-07-23,0.288738067959552,"Landsat4/5 (TM)",2005,7,23,0.288738067959552,0.288710015626858
2005-07-28,0.301088856466217,"Landsat4/5 (TM)",2005,7,28,0.301088856466217,0.30077141196586
2005-08-02,0.313198819953017,"Landsat4/5 (TM)",2005,8,2,0.313198819953017,0.313126033925406
