"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.205560594797134,"Landsat4/5 (TM)",2005,2,3,0.205560594797134,0.206107539161689
2005-02-08,0.198742174275442,"Landsat4/5 (TM)",2005,2,8,0.198742174275442,0.19799422021735
2005-02-13,0.191867264249595,"Landsat4/5 (TM)",2005,2,13,0.191867264249595,0.191387157555404
2005-02-18,0.18578320728193,"Landsat4/5 (TM)",2005,2,18,0.18578320728193,0.186286351175853
2005-02-23,0.182045217482718,"Landsat4/5 (TM)",2005,2,23,0.182045217482718,0.182887637567396
2005-02-28,0.181027575257758,"Landsat4/5 (TM)",2005,2,28,0.181027575257758,0.181333176691441
2005-03-05,0.180066012839907,"Landsat4/5 (TM)",2005,3,5,0.180066012839907,0.180496739489281
2005-03-10,0.176428155709733,"Landsat4/5 (TM)",2005,3,10,0.176428155709733,0.175322259877959
2005-03-15,0.167381629347801,"Landsat4/5 (TM)",2005,3,15,0.167381629347801,0.163349181470203
2005-03-20,0.145739536168549,"Landsat4/5 (TM)",2005,3,20,0.145739536168549,0.147815385867523
2005-03-25,0.127063192485366,"Landsat4/5 (TM)",2005,3,25,0.127063192485366,0.130472782455839
2005-03-30,0.116838605645171,"Landsat4/5 (TM)",2005,3,30,0.116838605645171,0.113370304705313
2005-04-04,0.101195419672877,"Landsat4/5 (TM)",2005,4,4,0.101195419672877,0.10019959474578
2005-04-09,0.0889288011749158,"Landsat4/5 (TM)",2005,4,9,0.0889288011749158,0.0913333796332242
2005-04-14,0.087943633494433,"Landsat4/5 (TM)",2005,4,14,0.087943633494433,0.0893525716996269
2005-04-19,0.096161147285784,"Landsat4/5 (TM)",2005,4,19,0.096161147285784,0.0976533812858438
2005-04-24,0.112103914376348,"Landsat4/5 (TM)",2005,4,24,0.112103914376348,0.11213920574803
2005-04-29,0.127980955195199,"Landsat4/5 (TM)",2005,4,29,0.127980955195199,0.125388948706755
2005-05-04,0.135515370493522,"Landsat4/5 (TM)",2005,5,4,0.135515370493522,0.133360160876916
2005-05-09,0.133588052212872,"Landsat4/5 (TM)",2005,5,9,0.133588052212872,0.134628797297872
2005-05-14,0.130887402125429,"Landsat4/5 (TM)",2005,5,14,0.130887402125429,0.131300305526015
2005-05-19,0.127054957210806,"Landsat4/5 (TM)",2005,5,19,0.127054957210806,0.127342167534519
2005-05-24,0.12361408320691,"Landsat4/5 (TM)",2005,5,24,0.12361408320691,0.126142243547477
2005-05-29,0.122094953042325,"Landsat4/5 (TM)",2005,5,29,0.122094953042325,0.120538729994087
2005-06-03,0.119113184511662,"Landsat4/5 (TM)",2005,6,3,0.119113184511662,0.109462325633397
2005-06-08,0.0970182924778333,"Landsat4/5 (TM)",2005,6,8,0.0970182924778333,0.103136692433497
2005-06-13,0.095079946273472,"Landsat4/5 (TM)",2005,6,13,0.095079946273472,0.105999715202186
2005-06-18,0.125867550210387,"Landsat4/5 (TM)",2005,6,18,0.125867550210387,0.120067528162722
2005-06-23,0.147537817148258,"Landsat4/5 (TM)",2005,6,23,0.147537817148258,0.144178731797836
2005-06-28,0.166321879846418,"Landsat4/5 (TM)",2005,6,28,0.166321879846418,0.166933893524401
2005-07-03,0.183577744267677,"Landsat4/5 (TM)",2005,7,3,0.183577744267677,0.183636906813288
2005-07-08,0.200042209645926,"Landsat4/5 (TM)",2005,7,8,0.200042209645926,0.200031102089002
2005-07-13,0.216452075215056,"Landsat4/5 (TM)",2005,7,13,0.216452075215056,0.21639471539558
2005-07-18,0.23354414020896,"Landsat4/5 (TM)",2005,7,18,0.23354414020896,0.233653303546991
2005-07-23,0.252171833209228,"Landsat4/5 (TM)",2005,7,23,0.252171833209228,0.252664251098075
2005-07-28,0.273499287532701,"Landsat4/5 (TM)",2005,7,28,0.273499287532701,0.273784506455161
2005-08-02,0.29665103026107,"Landsat4/5 (TM)",2005,8,2,0.29665103026107,0.296687418544905
2005-08-07,0.320369511495752,"Landsat4/5 (TM)",2005,8,7,0.320369511495752,0.320369511495752
2005-08-12,0.343397181338165,"Landsat4/5 (TM)",2005,8,12,0.343397181338165,0.343397181338165
2005-08-17,0.364476489889727,"Landsat4/5 (TM)",2005,8,17,0.364476489889727,0.364471337074483
2005-08-22,0.382349887251854,"Landsat4/5 (TM)",2005,8,22,0.382349887251854,0.382220434171247
2005-08-27,0.395759823525965,"Landsat4/5 (TM)",2005,8,27,0.395759823525965,0.395360260787911
2005-09-01,0.403502853373531,"Landsat4/5 (TM)",2005,9,1,0.403502853373531,0.403126817458597
2005-09-06,0.405599527402257,"Landsat4/5 (TM)",2005,9,6,0.405599527402257,0.405491522383136
2005-09-11,0.403151710543781,"Landsat4/5 (TM)",2005,9,11,0.403151710543781,0.403149701462759
2005-09-16,0.397282363080478,"Landsat4/5 (TM)",2005,9,16,0.397282363080478,0.397282363080477
2005-09-21,0.389114445294719,"Landsat4/5 (TM)",2005,9,21,0.389114445294719,0.389114445294719
2005-09-26,0.379770917468878,"Landsat4/5 (TM)",2005,9,26,0.379770917468878,0.379812799211411
2005-10-01,0.37037473988533,"Landsat4/5 (TM)",2005,10,1,0.37037473988533,0.370787857851273
2005-10-06,0.362048872826446,"Landsat4/5 (TM)",2005,10,6,0.362048872826446,0.362498939038187
2005-10-11,0.35547651827801,"Landsat4/5 (TM)",2005,10,11,0.35547651827801,0.354755607690967
2005-10-16,0.34810253532487,"Landsat4/5 (TM)",2005,10,16,0.34810253532487,0.347377349813574
2005-10-21,0.341181703377516,"Landsat4/5 (TM)",2005,10,21,0.341181703377516,0.342776612186029
2005-10-26,0.337251905097219,"Landsat4/5 (TM)",2005,10,26,0.337251905097219,0.339983392879991
2005-10-31,0.339447792561259,"Landsat4/5 (TM)",2005,10,31,0.339447792561259,0.335792814559162
2005-11-05,0.331382448566728,"Landsat4/5 (TM)",2005,11,5,0.331382448566728,0.328887809731635
2005-11-10,0.316195487976074,"Landsat4/5 (TM)",2005,11,10,0.316195487976074,0.318907926299245
2005-11-15,0.306109033790562,"Landsat4/5 (TM)",2005,11,15,0.306109033790562,0.306897932730147
2005-11-20,0.297306114367529,"Landsat4/5 (TM)",2005,11,20,0.297306114367529,0.296725236712691
2005-11-25,0.288504384142015,"Landsat4/5 (TM)",2005,11,25,0.288504384142015,0.288365217696385
2005-11-30,0.279840588133083,"Landsat4/5 (TM)",2005,11,30,0.279840588133083,0.279838982148508
2005-12-05,0.271468334197834,"Landsat4/5 (TM)",2005,12,5,0.271468334197834,0.271468334197834
2005-12-10,0.263541230193369,"Landsat4/5 (TM)",2005,12,10,0.263541230193369,0.263443647424278
2005-12-15,0.256212883976787,"Landsat4/5 (TM)",2005,12,15,0.256212883976787,0.256138841041364
2005-12-20,0.24963690340519,"Landsat4/5 (TM)",2005,12,20,0.24963690340519,0.2501466453671
2005-12-25,0.24499151541113,"Landsat4/5 (TM)",2005,12,25,0.24499151541113,0.245583063107721
2005-12-30,0.241670850060473,"Landsat4/5 (TM)",2005,12,30,0.241670850060473,0.241456995583013
2006-01-04,0.237152369910291,"Landsat4/5 (TM)",2006,1,4,0.237152369910291,0.23618412335669
2006-01-09,0.229278052342124,"Landsat4/5 (TM)",2006,1,9,0.229278052342124,0.228587672453224
2006-01-14,0.219140727198465,"Landsat4/5 (TM)",2006,1,14,0.219140727198465,0.219311590941245
2006-01-19,0.209508167157765,"Landsat4/5 (TM)",2006,1,19,0.209508167157765,0.210458017965981
2006-01-24,0.202958924181076,"Landsat4/5 (TM)",2006,1,24,0.202958924181076,0.203786727969817
2006-01-29,0.199075589887798,"Landsat4/5 (TM)",2006,1,29,0.199075589887798,0.199076672673463
2006-02-03,0.195146443982594,"Landsat4/5 (TM)",2006,2,3,0.195146443982594,0.19444526737269
2006-02-08,0.188499566516839,"Landsat4/5 (TM)",2006,2,8,0.188499566516839,0.188157275653664
2006-02-13,0.178646479340387,"Landsat4/5 (TM)",2006,2,13,0.178646479340387,0.179461182420146
2006-02-18,0.166962653864175,"Landsat4/5 (TM)",2006,2,18,0.166962653864175,0.165267850294876
2006-02-23,0.151574299861285,"Landsat4/5 (TM)",2006,2,23,0.151574299861285,0.148487214957915
2006-02-28,0.128312449300885,"Landsat4/5 (TM)",2006,2,28,0.128312449300885,0.132842021241978
2006-03-05,0.119790777777417,"Landsat4/5 (TM)",2006,3,5,0.119790777777417,0.121139028859693
2006-03-10,0.116375921111436,"Landsat4/5 (TM)",2006,3,10,0.116375921111436,0.115205907418281
