"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-04-08,0.133147336542606,"Landsat7 (ETM+)",2005,4,8,0.133147336542606,0.12378120375409
2005-04-13,0.112070085775485,"Landsat7 (ETM+)",2005,4,13,0.112070085775485,0.119751977004231
2005-04-18,0.107165147188624,"Landsat7 (ETM+)",2005,4,18,0.107165147188624,0.119930981105066
2005-04-23,0.124385465107,"Landsat7 (ETM+)",2005,4,23,0.124385465107,0.124318216056593
2005-04-28,0.145633858665958,"Landsat7 (ETM+)",2005,4,28,0.145633858665958,0.139886413492657
2005-05-03,0.15335127282461,"Landsat7 (ETM+)",2005,5,3,0.15335127282461,0.151615509555768
2005-05-08,0.153389578201561,"Landsat7 (ETM+)",2005,5,8,0.153389578201561,0.155006481774915
2005-05-13,0.152883379762575,"Landsat7 (ETM+)",2005,5,13,0.152883379762575,0.153017458385577
2005-05-18,0.150575035268867,"Landsat7 (ETM+)",2005,5,18,0.150575035268867,0.150615851974602
2005-05-23,0.147927298625646,"Landsat7 (ETM+)",2005,5,23,0.147927298625646,0.150275150106697
2005-05-28,0.146586355041161,"Landsat7 (ETM+)",2005,5,28,0.146586355041161,0.146488663435871
2005-06-02,0.144590839911852,"Landsat7 (ETM+)",2005,6,2,0.144590839911852,0.134316675368302
2005-06-07,0.124162391309609,"Landsat7 (ETM+)",2005,6,7,0.124162391309609,0.126098222612034
2005-06-12,0.111698452285054,"Landsat7 (ETM+)",2005,6,12,0.111698452285054,0.127939818408216
2005-06-17,0.146852678473806,"Landsat7 (ETM+)",2005,6,17,0.146852678473806,0.14158657055612
2005-06-22,0.171636160394792,"Landsat7 (ETM+)",2005,6,22,0.171636160394792,0.165673669241786
2005-06-27,0.18837584448047,"Landsat7 (ETM+)",2005,6,27,0.18837584448047,0.188904063906886
2005-07-02,0.201545735631862,"Landsat7 (ETM+)",2005,7,2,0.201545735631862,0.201838816105993
2005-07-07,0.212542493771616,"Landsat7 (ETM+)",2005,7,7,0.212542493771616,0.21254559811331
2005-07-12,0.22276277882238,"Landsat7 (ETM+)",2005,7,12,0.22276277882238,0.222914758742209
2005-07-17,0.233603250706801,"Landsat7 (ETM+)",2005,7,17,0.233603250706801,0.234036302594658
2005-07-22,0.246427973759739,"Landsat7 (ETM+)",2005,7,22,0.246427973759739,0.246715969788729
2005-07-27,0.261086712127319,"Landsat7 (ETM+)",2005,7,27,0.261086712127319,0.261081805154375
2005-08-01,0.276700531192793,"Landsat7 (ETM+)",2005,8,1,0.276700531192793,0.276670808450744
2005-08-06,0.29270258513093,"Landsat7 (ETM+)",2005,8,6,0.29270258513093,0.29270258513093
2005-08-11,0.308526028116495,"Landsat7 (ETM+)",2005,8,11,0.308526028116495,0.308526028116495
2005-08-16,0.323604014324257,"Landsat7 (ETM+)",2005,8,16,0.323604014324257,0.323614592039677
2005-08-21,0.337369697928981,"Landsat7 (ETM+)",2005,8,21,0.337369697928981,0.337645697892169
2005-08-26,0.349256233105436,"Landsat7 (ETM+)",2005,8,26,0.349256233105436,0.34947237444663
2005-08-31,0.358585708016471,"Landsat7 (ETM+)",2005,8,31,0.358585708016471,0.357692294673913
2005-09-05,0.362059876241256,"Landsat7 (ETM+)",2005,9,5,0.362059876241256,0.361514223512254
2005-09-10,0.360772909747539,"Landsat7 (ETM+)",2005,9,10,0.360772909747539,0.360969340868051
