date,year,month,day,median_ndvi,landsat
16-04-2005,2005,4,16,0.155883312225342,Landsat4/5 (TM)
"02-05-2005",2005,5,2,0.180551260709763,Landsat4/5 (TM)
"03-06-2005",2005,6,3,0.130263015627861,Landsat4/5 (TM)
19-06-2005,2005,6,19,0.197017274796963,Landsat4/5 (TM)
21-07-2005,2005,7,21,0.283731281757355,Landsat4/5 (TM)
"07-09-2005",2005,9,7,0.391591548919678,Landsat4/5 (TM)
"09-10-2005",2005,10,9,0.338537111878395,Landsat4/5 (TM)
25-10-2005,2005,10,25,0.328564047813416,Landsat4/5 (TM)
10-11-2005,2005,11,10,0.301090478897095,Landsat4/5 (TM)
14-02-2006,2006,2,14,0.211376331746578,Landsat4/5 (TM)
"02-03-2006",2006,3,2,0.165233820676804,Landsat4/5 (TM)
"08-04-2005",2005,4,8,0.168248012661934,Landsat7 (ETM+)
10-05-2005,2005,5,10,0.184127315878868,Landsat7 (ETM+)
26-05-2005,2005,5,26,0.177430927753448,Landsat7 (ETM+)
11-06-2005,2005,6,11,0.123377040028572,Landsat7 (ETM+)
30-08-2005,2005,8,30,0.376363486051559,Landsat7 (ETM+)
"02-11-2005",2005,11,2,0.315357387065887,Landsat7 (ETM+)
18-11-2005,2005,11,18,0.295029252767563,Landsat7 (ETM+)
20-12-2005,2005,12,20,0.263008803129196,Landsat7 (ETM+)
"05-01-2006",2006,1,5,0.24740145355463,Landsat7 (ETM+)
21-01-2006,2006,1,21,0.224879518151283,Landsat7 (ETM+)
"06-02-2006",2006,2,6,0.221272170543671,Landsat7 (ETM+)
22-02-2006,2006,2,22,0.19737483561039,Landsat7 (ETM+)
26-03-2006,2006,3,26,0.199477285146713,Landsat7 (ETM+)
11-04-2006,2006,4,11,0.191795438528061,Landsat7 (ETM+)
27-04-2006,2006,4,27,0.185098692774773,Landsat7 (ETM+)
