"date","median_ndvi","landsat","year","month","day"
2005-04-08,0.121488116681576,"Landsat7 (ETM+)",2005,4,8
2005-04-13,0.108983687721775,"Landsat7 (ETM+)",2005,4,13
2005-04-18,0.10452014124894,"Landsat7 (ETM+)",2005,4,18
2005-04-23,0.110673102508372,"Landsat7 (ETM+)",2005,4,23
2005-04-28,0.119230605778284,"Landsat7 (ETM+)",2005,4,28
2005-05-03,0.12216795315544,"Landsat7 (ETM+)",2005,5,3
2005-05-08,0.11597488578991,"Landsat7 (ETM+)",2005,5,8
2005-05-13,0.111655813198013,"Landsat7 (ETM+)",2005,5,13
2005-05-18,0.108965965919197,"Landsat7 (ETM+)",2005,5,18
2005-05-23,0.107305929304857,"Landsat7 (ETM+)",2005,5,23
2005-05-28,0.107406223280123,"Landsat7 (ETM+)",2005,5,28
2005-06-02,0.109429581836594,"Landsat7 (ETM+)",2005,6,2
2005-06-07,0.097157694399357,"Landsat7 (ETM+)",2005,6,7
2005-06-12,0.0905221444772905,"Landsat7 (ETM+)",2005,6,12
2005-06-17,0.11187447590055,"Landsat7 (ETM+)",2005,6,17
2005-06-22,0.119873168437425,"Landsat7 (ETM+)",2005,6,22
2005-06-27,0.115779192140326,"Landsat7 (ETM+)",2005,6,27
2005-07-02,0.105949749913907,"Landsat7 (ETM+)",2005,7,2
2005-07-07,0.0947741696225421,"Landsat7 (ETM+)",2005,7,7
2005-07-12,0.0866417791306049,"Landsat7 (ETM+)",2005,7,12
2005-07-17,0.0859419063024688,"Landsat7 (ETM+)",2005,7,17
2005-07-22,0.0969872349277138,"Landsat7 (ETM+)",2005,7,22
2005-07-27,0.119936565939337,"Landsat7 (ETM+)",2005,7,27
2005-08-01,0.151620407836512,"Landsat7 (ETM+)",2005,8,1
2005-08-06,0.189339453220367,"Landsat7 (ETM+)",2005,8,6
2005-08-11,0.230394394692033,"Landsat7 (ETM+)",2005,8,11
2005-08-16,0.272085924852639,"Landsat7 (ETM+)",2005,8,16
2005-08-21,0.311714736303314,"Landsat7 (ETM+)",2005,8,21
2005-08-26,0.346581521645188,"Landsat7 (ETM+)",2005,8,26
2005-08-31,0.374039528561115,"Landsat7 (ETM+)",2005,8,31
2005-09-05,0.391230951191392,"Landsat7 (ETM+)",2005,9,5
2005-09-10,0.392194359003497,"Landsat7 (ETM+)",2005,9,10
2005-09-15,0.384002298815176,"Landsat7 (ETM+)",2005,9,15
2005-09-20,0.370064204078063,"Landsat7 (ETM+)",2005,9,20
2005-09-25,0.352829348685191,"Landsat7 (ETM+)",2005,9,25
2005-09-30,0.334747006529597,"Landsat7 (ETM+)",2005,9,30
2005-10-05,0.318266451504315,"Landsat7 (ETM+)",2005,10,5
2005-10-10,0.305793959019866,"Landsat7 (ETM+)",2005,10,10
2005-10-15,0.29718327948649,"Landsat7 (ETM+)",2005,10,15
2005-10-20,0.289816242826418,"Landsat7 (ETM+)",2005,10,20
2005-10-25,0.281239733099937,"Landsat7 (ETM+)",2005,10,25
2005-10-30,0.269589771611208,"Landsat7 (ETM+)",2005,10,30
2005-11-04,0.258535467088222,"Landsat7 (ETM+)",2005,11,4
2005-11-09,0.248987199680414,"Landsat7 (ETM+)",2005,11,9
2005-11-14,0.236395796062424,"Landsat7 (ETM+)",2005,11,14
2005-11-19,0.223678514869107,"Landsat7 (ETM+)",2005,11,19
2005-11-24,0.212427272059358,"Landsat7 (ETM+)",2005,11,24
2005-11-29,0.201584994115137,"Landsat7 (ETM+)",2005,11,29
2005-12-04,0.191220612265169,"Landsat7 (ETM+)",2005,12,4
2005-12-09,0.18140305773818,"Landsat7 (ETM+)",2005,12,9
2005-12-14,0.172201261762893,"Landsat7 (ETM+)",2005,12,14
2005-12-19,0.163684155568035,"Landsat7 (ETM+)",2005,12,19
2005-12-24,0.156259057752322,"Landsat7 (ETM+)",2005,12,24
2005-12-29,0.150248885110159,"Landsat7 (ETM+)",2005,12,29
2006-01-03,0.144927090681449,"Landsat7 (ETM+)",2006,1,3
2006-01-08,0.139652528966962,"Landsat7 (ETM+)",2006,1,8
2006-01-13,0.134617214789614,"Landsat7 (ETM+)",2006,1,13
2006-01-18,0.130223298285728,"Landsat7 (ETM+)",2006,1,18
2006-01-23,0.126820905097702,"Landsat7 (ETM+)",2006,1,23
2006-01-28,0.124348430640567,"Landsat7 (ETM+)",2006,1,28
2006-02-02,0.122702625521925,"Landsat7 (ETM+)",2006,2,2
2006-02-07,0.1219208795319,"Landsat7 (ETM+)",2006,2,7
2006-02-12,0.123080537290662,"Landsat7 (ETM+)",2006,2,12
2006-02-17,0.120585217140615,"Landsat7 (ETM+)",2006,2,17
2006-02-22,0.116656213998795,"Landsat7 (ETM+)",2006,2,22
2006-02-27,0.119680514766515,"Landsat7 (ETM+)",2006,2,27
2006-03-04,0.122894272165097,"Landsat7 (ETM+)",2006,3,4
2006-03-09,0.125180449874649,"Landsat7 (ETM+)",2006,3,9
2006-03-14,0.12712761759758,"Landsat7 (ETM+)",2006,3,14
2006-03-19,0.128446348249714,"Landsat7 (ETM+)",2006,3,19
2006-03-24,0.128847214746875,"Landsat7 (ETM+)",2006,3,24
2006-03-29,0.127397007488071,"Landsat7 (ETM+)",2006,3,29
2006-04-03,0.123088689365735,"Landsat7 (ETM+)",2006,4,3
2006-04-08,0.11974735631793,"Landsat7 (ETM+)",2006,4,8
2006-04-13,0.121424219665642,"Landsat7 (ETM+)",2006,4,13
2006-04-18,0.128311024683171,"Landsat7 (ETM+)",2006,4,18
2006-04-23,0.137414287251886,"Landsat7 (ETM+)",2006,4,23
