"date","median_ndvi","landsat","year","month","day"
2005-04-08,0.133147336542606,"Landsat7 (ETM+)",2005,4,8
2005-04-13,0.112070085775485,"Landsat7 (ETM+)",2005,4,13
2005-04-18,0.107165147188624,"Landsat7 (ETM+)",2005,4,18
2005-04-23,0.124385465107,"Landsat7 (ETM+)",2005,4,23
2005-04-28,0.145633858665958,"Landsat7 (ETM+)",2005,4,28
2005-05-03,0.15335127282461,"Landsat7 (ETM+)",2005,5,3
2005-05-08,0.153389578201561,"Landsat7 (ETM+)",2005,5,8
2005-05-13,0.152883379762575,"Landsat7 (ETM+)",2005,5,13
2005-05-18,0.150575035268867,"Landsat7 (ETM+)",2005,5,18
2005-05-23,0.147927298625646,"Landsat7 (ETM+)",2005,5,23
2005-05-28,0.146586355041161,"Landsat7 (ETM+)",2005,5,28
2005-06-02,0.144590839911852,"Landsat7 (ETM+)",2005,6,2
2005-06-07,0.124162391309609,"Landsat7 (ETM+)",2005,6,7
2005-06-12,0.111698452285054,"Landsat7 (ETM+)",2005,6,12
2005-06-17,0.146852678473806,"Landsat7 (ETM+)",2005,6,17
2005-06-22,0.171636160394792,"Landsat7 (ETM+)",2005,6,22
2005-06-27,0.18837584448047,"Landsat7 (ETM+)",2005,6,27
2005-07-02,0.201545735631862,"Landsat7 (ETM+)",2005,7,2
2005-07-07,0.212542493771616,"Landsat7 (ETM+)",2005,7,7
2005-07-12,0.22276277882238,"Landsat7 (ETM+)",2005,7,12
2005-07-17,0.233603250706801,"Landsat7 (ETM+)",2005,7,17
2005-07-22,0.246427973759739,"Landsat7 (ETM+)",2005,7,22
2005-07-27,0.261086712127319,"Landsat7 (ETM+)",2005,7,27
2005-08-01,0.276700531192793,"Landsat7 (ETM+)",2005,8,1
2005-08-06,0.29270258513093,"Landsat7 (ETM+)",2005,8,6
2005-08-11,0.308526028116495,"Landsat7 (ETM+)",2005,8,11
2005-08-16,0.323604014324257,"Landsat7 (ETM+)",2005,8,16
2005-08-21,0.337369697928981,"Landsat7 (ETM+)",2005,8,21
2005-08-26,0.349256233105436,"Landsat7 (ETM+)",2005,8,26
2005-08-31,0.358585708016471,"Landsat7 (ETM+)",2005,8,31
2005-09-05,0.362059876241256,"Landsat7 (ETM+)",2005,9,5
2005-09-10,0.360772909747539,"Landsat7 (ETM+)",2005,9,10
2005-09-15,0.356839109212161,"Landsat7 (ETM+)",2005,9,15
2005-09-20,0.351159388805172,"Landsat7 (ETM+)",2005,9,20
2005-09-25,0.344585473489133,"Landsat7 (ETM+)",2005,9,25
2005-09-30,0.3379690882266,"Landsat7 (ETM+)",2005,9,30
2005-10-05,0.332161957980133,"Landsat7 (ETM+)",2005,10,5
2005-10-10,0.328036986806182,"Landsat7 (ETM+)",2005,10,10
2005-10-15,0.326362619074643,"Landsat7 (ETM+)",2005,10,15
2005-10-20,0.325417957677927,"Landsat7 (ETM+)",2005,10,20
2005-10-25,0.32279559969902,"Landsat7 (ETM+)",2005,10,25
2005-10-30,0.316862701423815,"Landsat7 (ETM+)",2005,10,30
2005-11-04,0.308282107114792,"Landsat7 (ETM+)",2005,11,4
2005-11-09,0.297559031285345,"Landsat7 (ETM+)",2005,11,9
2005-11-14,0.289350199745968,"Landsat7 (ETM+)",2005,11,14
2005-11-19,0.28260774456885,"Landsat7 (ETM+)",2005,11,19
2005-11-24,0.27630783800123,"Landsat7 (ETM+)",2005,11,24
2005-11-29,0.270319341055256,"Landsat7 (ETM+)",2005,11,29
2005-12-04,0.264580009505153,"Landsat7 (ETM+)",2005,12,4
2005-12-09,0.259027599125148,"Landsat7 (ETM+)",2005,12,9
2005-12-14,0.253599865689467,"Landsat7 (ETM+)",2005,12,14
2005-12-19,0.248234564972336,"Landsat7 (ETM+)",2005,12,19
2005-12-24,0.243228253151756,"Landsat7 (ETM+)",2005,12,24
2005-12-29,0.238717670707956,"Landsat7 (ETM+)",2005,12,29
2006-01-03,0.233667749947926,"Landsat7 (ETM+)",2006,1,3
2006-01-08,0.226895679432345,"Landsat7 (ETM+)",2006,1,8
2006-01-13,0.21829168498516,"Landsat7 (ETM+)",2006,1,13
2006-01-18,0.2100287408648,"Landsat7 (ETM+)",2006,1,18
2006-01-23,0.204405964846955,"Landsat7 (ETM+)",2006,1,23
2006-01-28,0.201928532402234,"Landsat7 (ETM+)",2006,1,28
2006-02-02,0.200109398225322,"Landsat7 (ETM+)",2006,2,2
2006-02-07,0.196213097260624,"Landsat7 (ETM+)",2006,2,7
2006-02-12,0.189183989714366,"Landsat7 (ETM+)",2006,2,12
2006-02-17,0.180694945811411,"Landsat7 (ETM+)",2006,2,17
2006-02-22,0.169948637485504,"Landsat7 (ETM+)",2006,2,22
2006-02-27,0.151346742022724,"Landsat7 (ETM+)",2006,2,27
2006-03-04,0.141046993797688,"Landsat7 (ETM+)",2006,3,4
2006-03-09,0.141129550795018,"Landsat7 (ETM+)",2006,3,9
2006-03-14,0.14598168223165,"Landsat7 (ETM+)",2006,3,14
2006-03-19,0.152239052104118,"Landsat7 (ETM+)",2006,3,19
2006-03-24,0.156537324408958,"Landsat7 (ETM+)",2006,3,24
2006-03-29,0.155983089831352,"Landsat7 (ETM+)",2006,3,29
2006-04-03,0.151960198457042,"Landsat7 (ETM+)",2006,4,3
2006-04-08,0.147728841680873,"Landsat7 (ETM+)",2006,4,8
2006-04-13,0.146311780386895,"Landsat7 (ETM+)",2006,4,13
2006-04-18,0.147532471847626,"Landsat7 (ETM+)",2006,4,18
2006-04-23,0.149792948446702,"Landsat7 (ETM+)",2006,4,23
