"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-04-08,0.168248012661934,"Landsat7 (ETM+)",2005,4,8,0.168248012661934,0.164440550052232
2005-04-13,0.158711089927238,"Landsat7 (ETM+)",2005,4,13,0.158711089927238,0.161798202565421
2005-04-18,0.156722802610602,"Landsat7 (ETM+)",2005,4,18,0.156722802610602,0.161788587732971
2005-04-23,0.164199488361192,"Landsat7 (ETM+)",2005,4,23,0.164199488361192,0.164411705554884
2005-04-28,0.174458105582744,"Landsat7 (ETM+)",2005,4,28,0.174458105582744,0.172931432232816
2005-05-03,0.181465619661876,"Landsat7 (ETM+)",2005,5,3,0.181465619661876,0.180259586295348
2005-05-08,0.183935077239669,"Landsat7 (ETM+)",2005,5,8,0.183935077239669,0.184033782537717
2005-05-13,0.184094385012408,"Landsat7 (ETM+)",2005,5,13,0.184094385012408,0.185206897200876
2005-05-18,0.183301568632452,"Landsat7 (ETM+)",2005,5,18,0.183301568632452,0.185716562117268
2005-05-23,0.180538090677267,"Landsat7 (ETM+)",2005,5,23,0.180538090677267,0.177769473835689
2005-05-28,0.169915324476565,"Landsat7 (ETM+)",2005,5,28,0.169915324476565,0.160115540566919
2005-06-02,0.134738997963763,"Landsat7 (ETM+)",2005,6,2,0.134738997963763,0.137133248051806
2005-06-07,0.119269518647343,"Landsat7 (ETM+)",2005,6,7,0.119269518647343,0.127677017337072
2005-06-12,0.129083971545697,"Landsat7 (ETM+)",2005,6,12,0.129083971545697,0.139915079853916
2005-06-17,0.180373442402925,"Landsat7 (ETM+)",2005,6,17,0.180373442402925,0.171903039922832
2005-06-22,0.213198601396789,"Landsat7 (ETM+)",2005,6,22,0.213198601396789,0.207262137765282
2005-06-27,0.233605519658886,"Landsat7 (ETM+)",2005,6,27,0.233605519658886,0.234528239942392
2005-07-02,0.247746407543537,"Landsat7 (ETM+)",2005,7,2,0.247746407543537,0.2481195390559
2005-07-07,0.257855594525245,"Landsat7 (ETM+)",2005,7,7,0.257855594525245,0.257864818936495
2005-07-12,0.266167410078515,"Landsat7 (ETM+)",2005,7,12,0.266167410078515,0.266536820634836
2005-07-17,0.274916183677852,"Landsat7 (ETM+)",2005,7,17,0.274916183677852,0.275773758587319
2005-07-22,0.286239388479633,"Landsat7 (ETM+)",2005,7,22,0.286239388479633,0.286417080619125
2005-07-27,0.298637827594183,"Landsat7 (ETM+)",2005,7,27,0.298637827594183,0.29830818156435
2005-08-01,0.310796299015681,"Landsat7 (ETM+)",2005,8,1,0.310796299015681,0.310671449932657
2005-08-06,0.322710516110062,"Landsat7 (ETM+)",2005,8,6,0.322710516110062,0.322710516110062
2005-08-11,0.33437619224326,"Landsat7 (ETM+)",2005,8,11,0.33437619224326,0.33437619224326
2005-08-16,0.345789040781208,"Landsat7 (ETM+)",2005,8,16,0.345789040781208,0.345774579899522
2005-08-21,0.356944775089839,"Landsat7 (ETM+)",2005,8,21,0.356944775089839,0.356867539428161
2005-08-26,0.367839108535088,"Landsat7 (ETM+)",2005,8,26,0.367839108535088,0.368796359389156
2005-08-31,0.378619593740586,"Landsat7 (ETM+)",2005,8,31,0.378619593740586,0.379871832355263
