"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.117241382598877,"Landsat4/5 (TM)",2005,2,3,0.117241382598877,0.117484996944031
2005-02-08,0.119711652199839,"Landsat4/5 (TM)",2005,2,8,0.119711652199839,0.119376843671922
2005-02-13,0.122155926350388,"Landsat4/5 (TM)",2005,2,13,0.122155926350388,0.121944977306416
2005-02-18,0.124964136806738,"Landsat4/5 (TM)",2005,2,18,0.124964136806738,0.125189397847515
2005-02-23,0.128826324051867,"Landsat4/5 (TM)",2005,2,23,0.128826324051867,0.129194607208658
2005-02-28,0.133894292514014,"Landsat4/5 (TM)",2005,2,28,0.133894292514014,0.134026969205349
2005-03-05,0.139000087103341,"Landsat4/5 (TM)",2005,3,5,0.139000087103341,0.139120313346384
2005-03-10,0.142946414433633,"Landsat4/5 (TM)",2005,3,10,0.142946414433633,0.142758965847748
2005-03-15,0.144535981118679,"Landsat4/5 (TM)",2005,3,15,0.144535981118679,0.143538643041673
2005-03-20,0.141338456516678,"Landsat4/5 (TM)",2005,3,20,0.141338456516678,0.140729897682464
2005-03-25,0.135974313276589,"Landsat4/5 (TM)",2005,3,25,0.135974313276589,0.136229520068017
2005-03-30,0.130142102884627,"Landsat4/5 (TM)",2005,3,30,0.130142102884627,0.132632787234922
2005-04-04,0.129184244202357,"Landsat4/5 (TM)",2005,4,4,0.129184244202357,0.128438362135165
2005-04-09,0.127575737505724,"Landsat4/5 (TM)",2005,4,9,0.127575737505724,0.123495252221743
2005-04-14,0.11716407648128,"Landsat4/5 (TM)",2005,4,14,0.11716407648128,0.119610923493625
2005-04-19,0.115064701580195,"Landsat4/5 (TM)",2005,4,19,0.115064701580195,0.118317367804457
2005-04-24,0.120695788413286,"Landsat4/5 (TM)",2005,4,24,0.120695788413286,0.120611263243956
2005-04-29,0.126758834298016,"Landsat4/5 (TM)",2005,4,29,0.126758834298016,0.123684300132715
2005-05-04,0.126291301770835,"Landsat4/5 (TM)",2005,5,4,0.126291301770835,0.123806085030689
2005-05-09,0.11909493289204,"Landsat4/5 (TM)",2005,5,9,0.11909493289204,0.122335458490376
2005-05-14,0.120007414428983,"Landsat4/5 (TM)",2005,5,14,0.120007414428983,0.1225896907316
2005-05-19,0.125607067629062,"Landsat4/5 (TM)",2005,5,19,0.125607067629062,0.125351543105396
2005-05-24,0.129059164049977,"Landsat4/5 (TM)",2005,5,24,0.129059164049977,0.126290201025075
2005-05-29,0.123207063816153,"Landsat4/5 (TM)",2005,5,29,0.123207063816153,0.119536756301516
2005-06-03,0.107794962823391,"Landsat4/5 (TM)",2005,6,3,0.107794962823391,0.107304484593918
2005-06-08,0.0947109907338017,"Landsat4/5 (TM)",2005,6,8,0.0947109907338017,0.0992485979048242
2005-06-13,0.0971208359260345,"Landsat4/5 (TM)",2005,6,13,0.0971208359260345,0.101515043839403
2005-06-18,0.118002377630546,"Landsat4/5 (TM)",2005,6,18,0.118002377630546,0.115044103957386
2005-06-23,0.136880583936,"Landsat4/5 (TM)",2005,6,23,0.136880583936,0.135271197453247
2005-06-28,0.155961326843362,"Landsat4/5 (TM)",2005,6,28,0.155961326843362,0.156244338318304
2005-07-03,0.175263003282816,"Landsat4/5 (TM)",2005,7,3,0.175263003282816,0.175292875489144
2005-07-08,0.194490352018101,"Landsat4/5 (TM)",2005,7,8,0.194490352018101,0.194478349995332
2005-07-13,0.213348111812956,"Landsat4/5 (TM)",2005,7,13,0.213348111812956,0.213219784370567
