"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2005-02-03,0.209829702973366,"Landsat4/5 (TM)",2005,2,3,0.209829702973366,0.20994454168912
2005-02-08,0.201945893112804,"Landsat4/5 (TM)",2005,2,8,0.201945893112804,0.201205342192507
2005-02-13,0.193855942386629,"Landsat4/5 (TM)",2005,2,13,0.193855942386629,0.194425955357386
2005-02-18,0.188651963779048,"Landsat4/5 (TM)",2005,2,18,0.188651963779048,0.189606381183756
2005-02-23,0.187347021243617,"Landsat4/5 (TM)",2005,2,23,0.187347021243617,0.187138629134657
2005-02-28,0.186775449467159,"Landsat4/5 (TM)",2005,2,28,0.186775449467159,0.186511778379085
2005-03-05,0.186276072584547,"Landsat4/5 (TM)",2005,3,5,0.186276072584547,0.187062683429211
2005-03-10,0.185293337521345,"Landsat4/5 (TM)",2005,3,10,0.185293337521345,0.185752719771955
2005-03-15,0.183271691203117,"Landsat4/5 (TM)",2005,3,15,0.183271691203117,0.180453669898732
2005-03-20,0.171290543895766,"Landsat4/5 (TM)",2005,3,20,0.171290543895766,0.170316747704956
2005-03-25,0.15651838388294,"Landsat4/5 (TM)",2005,3,25,0.15651838388294,0.158060744701571
2005-03-30,0.143855264759623,"Landsat4/5 (TM)",2005,3,30,0.143855264759623,0.147323078563395
2005-04-04,0.138008108828217,"Landsat4/5 (TM)",2005,4,4,0.138008108828217,0.135542318087199
2005-04-09,0.130240312715614,"Landsat4/5 (TM)",2005,4,9,0.130240312715614,0.123045235539922
2005-04-14,0.109205173590453,"Landsat4/5 (TM)",2005,4,14,0.109205173590453,0.115134670989493
2005-04-19,0.109415565723202,"Landsat4/5 (TM)",2005,4,19,0.109415565723202,0.116608807726822
2005-04-24,0.128893830432779,"Landsat4/5 (TM)",2005,4,24,0.128893830432779,0.127229452311358
2005-04-29,0.148769341625226,"Landsat4/5 (TM)",2005,4,29,0.148769341625226,0.142851514999292
2005-05-04,0.153365383652311,"Landsat4/5 (TM)",2005,5,4,0.153365383652311,0.152948610523094
2005-05-09,0.153389402439288,"Landsat4/5 (TM)",2005,5,9,0.153389402439288,0.154888721023573
2005-05-14,0.152531709104279,"Landsat4/5 (TM)",2005,5,14,0.152531709104279,0.152398018239289
2005-05-19,0.150017408066528,"Landsat4/5 (TM)",2005,5,19,0.150017408066528,0.150290852416092
2005-05-24,0.147508910164615,"Landsat4/5 (TM)",2005,5,24,0.147508910164615,0.150311175539179
2005-05-29,0.146444320970053,"Landsat4/5 (TM)",2005,5,29,0.146444320970053,0.144637828838784
2005-06-03,0.143514037132263,"Landsat4/5 (TM)",2005,6,3,0.143514037132263,0.132196829519979
2005-06-08,0.118078246440042,"Landsat4/5 (TM)",2005,6,8,0.118078246440042,0.125812690807577
2005-06-13,0.116538535134168,"Landsat4/5 (TM)",2005,6,13,0.116538535134168,0.129929748649499
2005-06-18,0.153853882115072,"Landsat4/5 (TM)",2005,6,18,0.153853882115072,0.145782810577205
2005-06-23,0.175336720322957,"Landsat4/5 (TM)",2005,6,23,0.175336720322957,0.17113611947468
2005-06-28,0.191250713027966,"Landsat4/5 (TM)",2005,6,28,0.191250713027966,0.192221150198747
